,Alkollü içecekler ve tütün,Ev eşyası,Eğitim,Eğlence ve kültür,Giyim ve ayakkabı,Gıda ve alkolsüz içecekler,Haberleşme,Konut,Lokanta ve oteller,Sağlık,Ulaştırma,Çeşitli mal ve hizmetler,TÜFE
2025-04-03,111.15844789133696,111.82452684908586,117.87109682952963,106.35712104764804,112.60501304242416,112.22873070464269,95.34145566136468,113.28800658140582,109.58524059544024,122.3764659665578,108.81870238473886,113.84192956768692,111.22880119891848
2025-04-04,111.15844789133696,111.7552719554362,117.87109682952963,106.26402717566168,112.49077534534956,111.99805826431496,95.38432582515358,113.534131373302,109.69710957032304,122.3764659665578,108.81263440890449,113.90137152877098,111.19945974594783
2025-04-05,111.15844789133696,111.75095184849346,117.87109682952963,106.08255833276344,112.5118050289595,111.96013972174632,95.40638331644875,116.99022828092404,109.69056738593903,122.3764659665578,108.84377210072792,113.86965728885032,111.74428503191292
2025-04-06,111.15844789133696,111.6649500416268,117.87109682952963,106.0088425463043,112.45554934553982,111.981700895575,95.41037087653724,117.03441731925612,109.65139917767884,122.3764659665578,108.8433624563211,113.8394158059077,111.73997428138756
2025-04-07,111.15844789133696,111.6099728427798,117.87109682952963,105.94725817196355,112.52146616302326,111.98341712693704,95.45274974246286,117.32810596249831,109.61762993429586,122.3764659665578,108.8421474793344,113.84220683694794,111.78573500034858
2025-04-08,111.15844789133696,111.77830010978889,117.87109682952963,106.0784723062294,112.52665739188024,112.0453960726291,95.41558790320587,117.61465871881624,109.58309152884097,122.3764659665578,108.85059312943318,113.76347941082106,111.85977217255724
2025-04-09,111.15844789133696,112.02538572979476,117.87109682952963,106.0231567415694,112.97167994345138,112.40630204647896,95.4415878346279,117.68420138347518,109.60763078374173,122.3764659665578,108.17837299485488,113.84053286776336,111.9429853772709
2025-04-10,111.15844789133696,112.31278844807602,117.86568629106787,105.9683497215545,112.848936712968,112.65729849210013,95.44438325025446,117.75322747659342,110.13080465120916,122.3764659665578,107.27312775547688,114.00954331151112,111.96787662427704
2025-04-11,111.15844789133696,112.26359843035756,117.85917717698771,105.92887759502692,112.64076482637564,112.6466810394122,95.46957511302745,117.87571395263092,110.4476844986647,122.3764659665578,107.2309892061517,114.23713598588088,111.99446753884976
2025-04-12,111.15844789133696,112.5893543009527,117.89186835305344,106.69508946344772,113.3834948706923,112.64589935026666,95.6267740158284,117.9904790989078,110.86516058313109,122.3764659665578,107.60548868364025,114.67941267072078,112.22444750701897
2025-04-13,111.15844789133696,112.70252377794564,117.9001675686904,106.95547422871913,113.64100373811804,112.62586334807584,95.64346472747124,117.95890937241155,110.5716873354696,122.3764659665578,107.6187524798945,114.84628317588012,112.23194727455638
