Ürün,Grup,Kod,Ağırlık,Ana Grup
Kuru Kayısı,Kuru meyve ve sert kabuklu yemişler,01162,0.007956011080762698,Gıda ve alkolsüz içecekler
Badem İçi,Kuru meyve ve sert kabuklu yemişler,01162,0.007956011080762698,Gıda ve alkolsüz içecekler
Kuzu Eti,Kuzu eti,01124,0.009192283000837773,Gıda ve alkolsüz içecekler
Okul Defteri,Kırtasiye malzemeleri,09540,0.001614632560070583,Eğlence ve kültür
Kalem,Kırtasiye malzemeleri,09540,0.001614632560070583,Eğlence ve kültür
Resim Boyaları,Kırtasiye malzemeleri,09540,0.001614632560070583,Eğlence ve kültür
Ayran (Servis edilen),"Lokanta, pastane, kafe vb. yerlerde içilen içecekler",11102,0.013834548261962638,Lokanta ve oteller
Soğuk İçecekler (Servis edilen),"Lokanta, pastane, kafe vb. yerlerde içilen içecekler",11102,0.013834548261962638,Lokanta ve oteller
Sıcak İçecekler (Servis edilen),"Lokanta, pastane, kafe vb. yerlerde içilen içecekler",11102,0.013834548261962638,Lokanta ve oteller
Burgerler,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",11101,0.060165580537581566,Lokanta ve oteller
Çorbalar,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",11101,0.060165580537581566,Lokanta ve oteller
Kebaplar,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",11101,0.060165580537581566,Lokanta ve oteller
Pideler,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",11101,0.060165580537581566,Lokanta ve oteller
Çiğ Köfte,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",11101,0.060165580537581566,Lokanta ve oteller
Ekmekarası Yiyecekler (Döner),"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",11101,0.060165580537581566,Lokanta ve oteller
"Hazır Yemekler (Pilav, Kuru Fasulye)","Lokanta, pastane, kafe vb. yerlerde yenen yemekler",11101,0.060165580537581566,Lokanta ve oteller
Pastane Ürünleri,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",11101,0.060165580537581566,Lokanta ve oteller
Pizzalar,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",11101,0.060165580537581566,Lokanta ve oteller
Şehriye,Makarna çeşitleri,01115,0.0022434019457113707,Gıda ve alkolsüz içecekler
Makarna,Makarna çeşitleri,01115,0.0022434019457113707,Gıda ve alkolsüz içecekler
Margarin,Margarin,01152,0.0007230520192352152,Gıda ve alkolsüz içecekler
Meyve Suyu,Meyve ve sebze suları,01223,0.0010694076476145083,Gıda ve alkolsüz içecekler
Motorsiklet,Motosikletler,07120,0.0035025549459475314,Ulaştırma
Tek Sandalye,Mutfak mobilyaları,05111,0.0034697876435756413,Ev eşyası
Tek Masa,Mutfak mobilyaları,05111,0.0034697876435756413,Ev eşyası
Mücevher (Altın),"Mücevheratlar, saat ve kol saatleri",12310,0.004619827128155373,Çeşitli mal ve hizmetler
Saat,"Mücevheratlar, saat ve kol saatleri",12310,0.004619827128155373,Çeşitli mal ve hizmetler
Müzik Aletleri ,Müzik enstrümanları,09220,0.0007448470075469122,Eğlence ve kültür
Özel İlköğretim Ücreti,Okul öncesi eğitim ve ilköğretim,10100,0.003897744569545211,Eğitim
Özel Lise Ücreti,Orta öğretim,10200,0.006171664780089312,Eğitim
Dolmuş Ücreti,Otobüs ile şehir içi yolcu taşımacılığı,07321,0.018189240087565024,Ulaştırma
