,Ürün,Grup,Ağırlık,Group_Number,Ana Grup
45,Bulaşık Makinesi,Çamaşır ve bulaşık makineleri,0.002769198609325984,66,Ev eşyası
46,Bulaşık İçin Temizlik ve Bakım Ürünleri,"Ev ile ilgili temizlik malzemeleri (deterjan, yumuşatıcı vb.)",0.003920679501812467,77,Ev eşyası
47,Bulgur,Un ve diğer tahıllar,0.001293891220499421,2,Gıda ve alkolsüz içecekler
48,Burgerler,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",0.011419527587859737,128,Lokanta ve oteller
49,Buğday Unu,Un ve diğer tahıllar,0.004424382804875214,2,Gıda ve alkolsüz içecekler
50,Cam Ev Eşyası,"Cam, porselen, seramik vb. mutfak eşyaları",0.0012524113515430938,72,Ev eşyası
51,Ceket (Erkek için),Erkek giyim,0.0009444538611567911,43,Giyim ve ayakkabı
52,Ceket (Kadın için),Kadın giyim,0.0008965952653917348,44,Giyim ve ayakkabı
53,Cep Telefonu Görüşme Ücreti,Telefon (mobil ve sabit hat) ve internet ücretleri,0.022907217110785916,107,Haberleşme
54,Ceviz İçi,Kuru meyve ve sert kabuklu yemişler,0.002278213435103409,22,Gıda ve alkolsüz içecekler
55,Cilt ve Vücut Ürünleri,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.0020559353523861837,135,Çeşitli mal ve hizmetler
56,Cipsler,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",0.0016992624725249781,26,Gıda ve alkolsüz içecekler
57,Dana Eti,Dana eti,0.025122813537948745,7,Gıda ve alkolsüz içecekler
58,Davlumbaz,Klima ve ısıtıcılar,0.00025723375208038933,68,Ev eşyası
59,Deodorant,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.0005929377520370522,135,Çeşitli mal ve hizmetler
60,Dereotu,Taze sebzeler (patates hariç),0.00018486996253917716,23,Gıda ve alkolsüz içecekler
61,Derin Dondurucu,"Buzdolabı, derin dondurucu",0.002986892741033127,65,Ev eşyası
62,Diğer Kitaplar,Kitaplar,0.0019112089355953596,120,Eğlence ve kültür
63,Dolmalık Biber,Taze sebzeler (patates hariç),0.0006991702212542684,23,Gıda ve alkolsüz içecekler
64,Domates,Taze sebzeler (patates hariç),0.010792393116920405,23,Gıda ve alkolsüz içecekler
65,Dondurma,Dondurma,0.0017806207849412976,30,Gıda ve alkolsüz içecekler
66,Doğalgaz Ücreti,Doğalgaz ve ilgili abonelik ücretleri,0.022358399049187166,57,Konut
67,Ekmek,Ekmek,0.026173300398593273,3,Gıda ve alkolsüz içecekler
68,Ekmek Hamuru (Yufka),"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.001235818160253078,4,Gıda ve alkolsüz içecekler
69,Ekmekarası Yiyecekler (Döner),"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",0.012280975228650823,128,Lokanta ve oteller
70,Elbise (Kadın için),Kadın giyim,0.004880994472442867,44,Giyim ve ayakkabı
71,Elbise (Çocuk için),Çocuk giyim,0.0007639401714408067,45,Giyim ve ayakkabı
72,Elektrik Ücreti,Elektrik,0.02143631787841421,56,Konut
73,Elektrikli Kesici Aletler (Blender),Elektrikli küçük ev aletleri,0.000720782220684082,70,Ev eşyası
74,Elektrikli Küçük Ev Aletleri (Tost Makinası),Elektrikli küçük ev aletleri,0.0004551058227332992,70,Ev eşyası
75,Elektrikli Saç Bakım Aletleri,Kişisel bakımda kullanılan elektrikli aletler,0.0005599358448798335,134,Çeşitli mal ve hizmetler
76,Elektrikli Süpürge,Diğer büyük ev aletleri (elektrikli süpürge vb.),0.0029379666022772725,69,Ev eşyası
77,Elma,Taze meyveler,0.0030984550712336214,21,Gıda ve alkolsüz içecekler
78,Erkek Berberi,Erkekler için kuaförlük hizmetleri,0.003561908081249217,132,Çeşitli mal ve hizmetler
79,Erkek Mont,Erkek giyim,0.0015839389097408877,43,Giyim ve ayakkabı
80,Etek,Kadın giyim,0.0015166313819903307,44,Giyim ve ayakkabı
81,Evcil Hayvanlar İçin Gıda Harcamaları,Evcil hayvanlar ile ilgili ürünler,0.00236607251571341,114,Eğlence ve kültür
82,Eşarp,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",0.0012107579441835838,47,Giyim ve ayakkabı
83,Eşofman (Erkek için),Erkek giyim,0.0009675488678603089,43,Giyim ve ayakkabı
84,Eşofman (Kadın için),Kadın giyim,0.0011903677457714452,44,Giyim ve ayakkabı
85,Eşofman (Çocuk için),Çocuk giyim,0.00172642787141906,45,Giyim ve ayakkabı
86,Fındık Ezmesi,"Reçel, marmelat, bal vb. ürünler",0.00014391768223350276,28,Gıda ve alkolsüz içecekler
87,Fındık İçi,Kuru meyve ve sert kabuklu yemişler,0.0008293243593758707,22,Gıda ve alkolsüz içecekler
88,Gazoz Meyveli,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.0006370049170558878,36,Gıda ve alkolsüz içecekler
89,Genç Odası Takımı,Yatak odası mobilyaları,0.0008812202000284641,61,Ev eşyası
90,Gofret,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.001813892776049615,4,Gıda ve alkolsüz içecekler
91,Gömlek (Erkek için),Erkek giyim,0.0028849465894769956,43,Giyim ve ayakkabı
92,Gömlek (Kadın için),Kadın giyim,0.001495689925615775,44,Giyim ve ayakkabı
93,Gömlek (Çocuk için),Çocuk giyim,0.0003862379983390537,45,Giyim ve ayakkabı
94,Gündelikçi Ücreti,Ev içi hizmetler (gündelikçi ücreti),0.004959611899861213,79,Ev eşyası
95,Halı,Halı,0.0016445953108166296,63,Ev eşyası
96,Halı Temizleme,Ev eşyalarının yıkanması ve temizlenmesi hizmetleri,0.001221295776166082,80,Ev eşyası
97,Havlu,Ev tekstili,0.0005893523320228208,64,Ev eşyası
98,Havuç,Taze sebzeler (patates hariç),0.0010650168161674936,23,Gıda ve alkolsüz içecekler
99,Hazır Et Yemekleri,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",0.0011926693753628557,11,Gıda ve alkolsüz içecekler
100,Hazır Kahve,Kahve,0.0008574753104229717,32,Gıda ve alkolsüz içecekler
